iter	Passed	Remaining
0	137	13661
1	140	6860
2	141	4591
3	143	3450
4	145	2766
5	147	2312
6	149	1986
7	151	1741
8	153	1551
9	155	1398
10	157	1272
11	159	1166
12	161	1078
13	163	1001
14	164	934
15	167	877
16	169	826
17	171	780
18	173	738
19	175	701
20	177	667
21	179	636
22	181	607
23	183	581
24	185	557
25	187	534
26	189	513
27	192	494
28	194	475
29	196	458
30	198	441
31	200	426
32	202	411
33	204	397
34	206	382
35	208	370
36	210	358
37	212	346
38	214	335
39	216	324
40	218	314
41	220	304
42	222	294
43	224	285
44	226	276
45	228	268
46	230	259
47	232	251
48	234	243
49	236	236
50	238	228
51	240	221
52	242	214
53	244	207
54	245	200
55	247	194
56	249	188
57	250	181
58	252	175
59	254	169
60	255	163
61	258	158
62	260	152
63	261	147
64	263	142
65	265	137
66	267	131
67	268	126
68	270	121
69	272	116
70	274	112
71	276	107
72	278	102
73	278	97
74	280	93
75	282	89
76	284	84
77	286	80
78	288	76
79	289	72
80	291	68
81	293	64
82	295	60
83	297	56
84	299	52
85	301	49
86	303	45
87	305	41
88	307	38
89	309	34
90	311	30
91	313	27
92	315	23
93	317	20
94	319	16
95	321	13
96	323	9
97	324	6
98	326	3
99	327	0
